"rank","film_id","title","rental_duration","replacement_cost","rental_rate","breakeven_time_of_rental","rate_of_return","breakeven_day","total_sales_excepted_by_film","total_count_by_film","actor_list"
"1",103,"Bucket Brotherhood",7,"27.99","4.99","5.61","0.18","40","169.66","34","Rip Crawford, Tim Hackman, Gary Phoenix, Charlize Dench, Kirsten Akroyd, Burt Temple"
"2",767,"Scalawag Duck",6,"13.99","4.99","2.80","0.36","17","159.68","32","Reese Kilmer, Jude Cruise, Christian Neeson, Groucho Sinatra, Chris Depp"
"3",973,"Wife Turn",3,"27.99","4.99","5.61","0.18","17","154.69","31","Woody Hoffman, Julia Barrymore, Gina Degeneres, Cameron Zellweger, Greta Malden, Michael Bolger"
"3",31,"Apache Divine",5,"16.99","4.99","3.40","0.29","17","154.69","31","Nick Wahlberg, Cuba Olivier, Anne Cronyn, Henry Berry"
"3",369,"Goodfellas Salute",4,"22.99","4.99","4.61","0.22","19","154.69","31","Nick Wahlberg, Johnny Lollobrigida, Elvis Marx, Ben Willis, Gina Degeneres, Susan Davis, Frances Tomei, Reese West"
"3",1000,"Zorro Ark",3,"18.99","4.99","3.81","0.26","12","154.69","31","Ian Tandy, Nick Degeneres, Lisa Monroe"
"7",127,"Cat Coneheads",5,"14.99","4.99","3.00","0.33","15","149.70","30","Helen Voight, Angela Witherspoon, Laura Brody, Renee Ball"
"7",239,"Dogma Family",5,"16.99","4.99","3.40","0.29","17","149.70","30","Kirk Jovovich, Henry Berry, Groucho Sinatra, Sidney Crowe, Gina Degeneres, River Dean, Christopher West"
"7",563,"Massacre Usual",6,"16.99","4.99","3.40","0.29","21","149.70","30","Spencer Depp, Fay Winslet, Gene Mckellen"
"7",403,"Harry Idaho",5,"18.99","4.99","3.81","0.26","20","149.70","30","Fay Kilmer, Cameron Zellweger, Morgan Hopkins, Lucille Dee, Matthew Carrey, Jayne Silverstone"
"7",979,"Witches Panic",6,"10.99","4.99","2.20","0.45","14","149.70","30","Ralph Cruz, Spencer Depp, Walter Torn, Reese West"
"12",174,"Confidential Interview",6,"13.99","4.99","2.80","0.36","17","144.71","29","Parker Goldberg, Sylvester Dern"
"12",893,"Titans Jerk",4,"11.99","4.99","2.40","0.42","10","144.71","29","Kirsten Paltrow, Dan Harris, Cameron Wray, Woody Jolie, Greg Chaplin, Sidney Crowe, Kim Allen"
"12",941,"Videotape Arsenic",4,"10.99","4.99","2.20","0.45","9","144.71","29","Ralph Cruz, Christopher Berry, Susan Davis, Ian Tandy, Russell Close"
"12",284,"Enemy Odds",5,"23.99","4.99","4.81","0.21","25","144.71","29","Vivien Bergen, Liza Bergman, Ewan Gooding, Bela Walken"
"12",86,"Boogie Amelie",6,"11.99","4.99","2.40","0.42","15","144.71","29","Kevin Bloom, Jodie Degeneres, Groucho Sinatra, Nick Degeneres, Gene Mckellen, Meryl Allen"
"17",159,"Closer Bang",5,"12.99","4.99","2.60","0.38","13","139.72","28","Kirsten Paltrow, Jodie Degeneres, Russell Temple, Greta Malden, Ed Guiness, Julia Fawcett"
"17",764,"Saturday Lambs",3,"28.99","4.99","5.81","0.17","18","139.72","28","Vivien Bergen, Rip Crawford, Penelope Pinkett, Burt Posey, Ben Willis, James Pitt, Greta Keitel, Mena Hopper, Gene Mckellen"
"17",911,"Trip Newton",7,"14.99","4.99","3.00","0.33","21","139.72","28","Woody Jolie, Penelope Monroe, Kevin Garland, Matthew Carrey"
"17",745,"Roses Treasure",5,"23.99","4.99","4.81","0.21","25","139.72","28","Cuba Olivier, Morgan Williams, Humphrey Garland, Burt Temple, Mary Keitel"
"21",879,"Telegraph Voyage",3,"20.99","4.99","4.21","0.24","13","134.73","27","Woody Hoffman, Carmen Hunt, Gina Degeneres, Lucille Dee, Vivien Basinger, Michael Bening, Thora Temple"
"21",521,"Lies Treatment",7,"28.99","4.99","5.81","0.17","41","134.73","27","Helen Voight, Johnny Cage, Dan Harris, Kenneth Torn, Walter Torn, Warren Jackman, Jon Chase"
"21",897,"Torque Bound",3,"27.99","4.99","5.61","0.18","17","134.73","27","Uma Wood, Natalie Hopkins, Adam Hopper, Gene Hopkins, Kenneth Hoffman"
"21",603,"Movie Shakespeare",6,"27.99","4.99","5.61","0.18","34","134.73","27","Helen Voight, Cameron Streep, Fay Kilmer, Gina Degeneres, Cameron Zellweger, Russell Bacall, Morgan Williams, River Dean"
"21",715,"Range Moonwalker",3,"25.99","4.99","5.21","0.19","16","134.73","27","Rip Crawford, Burt Dukakis, Penelope Monroe, Russell Close"
"21",244,"Dorado Notting",5,"26.99","4.99","5.41","0.18","28","134.73","27","Audrey Olivier, Jessica Bailey, Gene Willis, Fay Wood"
"21",330,"Forrester Comancheros",7,"22.99","4.99","4.61","0.22","33","134.73","27","Kirk Jovovich, Reese Kilmer, Sean Guiness"
"28",263,"Durham Panky",6,"14.99","4.99","3.00","0.33","18","129.74","26","Matthew Johansson, Woody Hoffman, Milla Keitel, Ben Willis, Susan Davis, Scarlett Bening, Frances Tomei, Morgan Williams, Fay Wood"
"28",307,"Fellowship Autumn",6,"9.99","4.99","2.00","0.50","12","129.74","26","Mena Temple, Fay Kilmer, Dan Harris, Christian Neeson, Ray Johansson, Salma Nolte, Christopher West"
"28",838,"Stagecoach Armageddon",5,"25.99","4.99","5.21","0.19","27","129.74","26","Karl Berry, Sandra Peck, Woody Jolie, Sean Guiness, Kirsten Akroyd, Morgan Hopkins"
