"customer_id","latest_payment_day","normalized_latest_payment_day","total_sales_per_customer","normalized_total_sales_per_customer","number_of_perchase_by_id","normalized_number_of_perchase_by_id","r","f","m"
184,"2007-04-30 09:50:22.996577","0.58823529411764705882","80.80","0.28793159786515630106","20","0.34210526315789473684",3,2,2
87,"2007-05-14 13:44:29.996577","1.00000000000000000000","137.72","0.59791961659949896525","28","0.55263157894736842105",5,3,3
477,"2007-04-30 20:21:27.996577","0.58823529411764705882","106.79","0.42947391351704607341","21","0.36842105263157894737",3,3,2
273,"2007-04-30 18:17:07.996577","0.58823529411764705882","130.72","0.55979740768979414007","28","0.55263157894736842105",3,3,3
550,"2007-05-14 13:44:29.996577","1.00000000000000000000","151.69","0.67400065352358130923","31","0.63157894736842105263",5,4,4
51,"2007-04-30 04:15:20.996577","0.55882352941176470588","123.70","0.52156627818320444396","30","0.60526315789473684211",3,3,4
394,"2007-05-14 13:44:29.996577","1.00000000000000000000","77.80","0.27159350833242566169","20","0.34210526315789473684",5,2,2
272,"2007-04-30 08:54:45.996577","0.58823529411764705882","65.87","0.20662237229060015249","13","0.15789473684210526316",3,2,1
70,"2007-04-29 17:36:23.996577","0.55882352941176470588","75.83","0.26086482953926587518","17","0.26315789473684210526",3,2,2
190,"2007-05-14 13:44:29.996577","1.00000000000000000000","102.75","0.40747195294630214574","25","0.47368421052631578947",5,3,3
350,"2007-04-27 15:23:51.996577","0.50000000000000000000","63.79","0.19529463021457357586","21","0.36842105263157894737",3,1,2
539,"2007-04-30 12:46:42.996577","0.58823529411764705882","84.80","0.30971571724213048688","20","0.34210526315789473684",3,2,2
554,"2007-04-11 07:31:19.996577","0.02941176470588235294","95.80","0.36962204552880949788","20","0.34210526315789473684",1,2,2
278,"2007-04-30 20:24:39.996577","0.58823529411764705882","71.79","0.23886286896852194750","21","0.36842105263157894737",3,2,2
424,"2007-05-14 13:44:29.996577","1.00000000000000000000","109.71","0.44537632066223722906","29","0.57894736842105263158",5,3,3
406,"2007-04-30 22:08:48.996577","0.58823529411764705882","121.69","0.51061975819627491559","31","0.63157894736842105263",3,3,4
176,"2007-04-30 08:56:21.996577","0.58823529411764705882","151.68","0.67394619322513887376","32","0.65789473684210526316",3,4,4
576,"2007-05-14 13:44:29.996577","1.00000000000000000000","135.68","0.58680971571724213049","31","0.63157894736842105263",5,3,4
309,"2007-04-30 14:18:36.996577","0.58823529411764705882","113.75","0.46737828123298115674","25","0.47368421052631578947",3,3,3
292,"2007-04-30 10:07:39.996577","0.58823529411764705882","102.78","0.40763533384162945213","22","0.39473684210526315789",3,3,2
509,"2007-04-30 22:53:26.996577","0.58823529411764705882","86.82","0.32071669752750245071","18","0.28947368421052631579",3,2,2
271,"2007-04-30 20:40:09.996577","0.58823529411764705882","56.84","0.15744472279708092800","16","0.23684210526315789474",3,1,2
22,"2007-05-14 13:44:29.996577","1.00000000000000000000","94.81","0.36423047598300838689","19","0.31578947368421052632",5,2,2
156,"2007-04-30 19:02:19.996577","0.58823529411764705882","89.77","0.33678248556802091275","23","0.42105263157894736842",3,2,3
417,"2007-05-14 13:44:29.996577","1.00000000000000000000","91.78","0.34772900555495044113","22","0.39473684210526315789",5,2,2
556,"2007-04-30 19:29:13.996577","0.58823529411764705882","72.82","0.24447227970809280035","18","0.28947368421052631579",3,2,2
475,"2007-04-30 21:39:27.996577","0.58823529411764705882","97.78","0.38040518462041171986","22","0.39473684210526315789",3,2,2
529,"2007-04-30 17:38:43.996577","0.58823529411764705882","115.72","0.47810696002614094325","28","0.55263157894736842105",3,3,3
282,"2007-05-14 13:44:29.996577","1.00000000000000000000","79.80","0.28248556802091275460","20","0.34210526315789473684",5,2,2
173,"2007-04-30 22:54:56.996577","0.58823529411764705882","111.73","0.45637730094760919290","27","0.52631578947368421053",3,3,3
390,"2007-04-30 17:51:51.996577","0.58823529411764705882","142.69","0.62498638492538939113","31","0.63157894736842105263",3,4,4
269,"2007-05-14 13:44:29.996577","1.00000000000000000000","96.79","0.37501361507461060887","20","0.34210526315789473684",5,2,2
261,"2007-04-30 11:50:20.996577","0.58823529411764705882","90.78","0.34228297571070689467","22","0.39473684210526315789",3,2,2
502,"2007-04-30 12:11:26.996577","0.58823529411764705882","130.70","0.55968848709290926914","30","0.60526315789473684211",3,3,4
42,"2007-05-14 13:44:29.996577","1.00000000000000000000","111.71","0.45626838035072432197","28","0.55263157894736842105",5,3,3
189,"2007-04-30 22:47:27.996577","0.58823529411764705882","87.79","0.32599934647641869077","21","0.36842105263157894737",3,2,2
