"return_status","rounded_up_rental_duration_actual","rental_duration","day_after_due","rental_id","rental_date","inventory_id","customer_id","return_date","staff_id","last_update"
"On_time","4",6,"0",4863,"2005-07-08 19:03:15",1,431,"2005-07-11 21:29:15",2,"2006-02-16 02:30:53"
"Over_due","10",6,"4",11433,"2005-08-02 20:13:10",1,518,"2005-08-11 21:35:10",1,"2006-02-16 02:30:53"
"Over_due","10",6,"4",14714,"2005-08-21 21:27:43",1,279,"2005-08-30 22:26:43",1,"2006-02-16 02:30:53"
"Over_due","7",6,"1",972,"2005-05-30 20:21:07",2,411,"2005-06-06 00:36:07",1,"2006-02-16 02:30:53"
"On_time","6",6,"0",2117,"2005-06-17 20:24:00",2,170,"2005-06-23 17:45:00",2,"2006-02-16 02:30:53"
"On_time","4",6,"0",4187,"2005-07-07 10:41:31",2,161,"2005-07-11 06:25:31",1,"2006-02-16 02:30:53"
"Over_due","7",6,"1",9449,"2005-07-30 22:02:34",2,581,"2005-08-06 02:09:34",1,"2006-02-16 02:30:53"
"Over_due","8",6,"2",15453,"2005-08-23 01:01:01",2,359,"2005-08-30 20:08:01",1,"2006-02-16 02:30:53"
"On_time","4",6,"0",10126,"2005-07-31 21:36:07",3,39,"2005-08-03 23:59:07",1,"2006-02-16 02:30:53"
"On_time","3",6,"0",15421,"2005-08-22 23:56:37",3,541,"2005-08-25 18:58:37",2,"2006-02-16 02:30:53"
