"customer_id","film_id","title","replacement_cost","amount","rental_rate","payment_date","rental_date","return_date","acutal_rent_date","rental_duration","extra_date","extra_earning"
15,812,"Smoking Barbarella","13.99","0.00","0.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,7,NULL,"-0.99"
42,733,"River Outlaw","29.99","0.00","0.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,4,NULL,"-0.99"
43,600,"Motions Details","16.99","0.00","0.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,5,NULL,"-0.99"
53,510,"Lawless Vision","29.99","0.00","4.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,6,NULL,"-4.99"
60,133,"Chamber Italian","14.99","0.00","4.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,7,NULL,"-4.99"
75,806,"Sleepy Japanese","25.99","0.00","2.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,4,NULL,"-2.99"
75,914,"Trouble Date","13.99","0.00","2.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,6,NULL,"-2.99"
107,79,"Blade Polish","10.99","0.00","0.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,5,NULL,"-0.99"
155,139,"Chasing Fight","21.99","0.00","4.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,7,NULL,"-4.99"
163,420,"Holes Brannigan","27.99","0.00","4.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,7,NULL,"-4.99"
175,220,"Deer Virginian","13.99","0.00","2.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,7,NULL,"-2.99"
208,200,"Curtain Videotape","27.99","0.00","0.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,7,NULL,"-0.99"
216,982,"Women Dorado","23.99","0.00","0.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,4,NULL,"-0.99"
228,201,"Cyclone Family","18.99","0.00","2.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,7,NULL,"-2.99"
267,676,"Philadelphia Wife","16.99","0.00","4.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,7,NULL,"-4.99"
269,698,"Princess Giant","29.99","0.00","2.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,3,NULL,"-2.99"
284,337,"Frida Slipper","11.99","0.00","2.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,6,NULL,"-2.99"
354,892,"Titanic Boondock","18.99","0.00","4.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,3,NULL,"-4.99"
361,391,"Half Outfield","25.99","0.00","2.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,6,NULL,"-2.99"
448,842,"State Wasteland","13.99","0.00","2.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,4,NULL,"-2.99"
457,155,"Cleopatra Devil","26.99","0.00","0.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,6,NULL,"-0.99"
516,581,"Minority Kiss","16.99","0.00","0.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,4,NULL,"-0.99"
560,603,"Movie Shakespeare","27.99","0.00","4.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,6,NULL,"-4.99"
576,935,"Vanished Garden","17.99","0.00","0.99","2007-05-14 13:44:29.996577","2006-02-14 15:16:03",NULL,NULL,5,NULL,"-0.99"
